Navn,Beskrivelse,Linjer,Indvidet,Type,Elevator
Vanløse,"Side om side med S-togstationen ligger Vanløse Station, som er den vestligst beliggende station på metrolinjerne M1 og M2. Midt i Vanløses rolige forstadsmiljø fungerer Vanløse Station også som en travl omstigningsstation mellem metro og S-tog og skaber med sine hyppige afgange hurtige forbindelser til det centrale København. Stiger du af i Vanløse, kan du blandt andet tage en slentretur på Vanløse Torv, se teater eller høre koncert på Vanløse Kulturstation, eller shoppe i Vanløses indkøbscenter Kronen, som du let kommer til via den direkte adgang i den østlige ende af metroperronen.",M1 og M2 samt S-tog,Oktober 2003,Overjordisk,En
Flintholm,"Flintholm er et af Danmarks største kollektive trafikknudepunkter, hvor tusindvis af passagerer hver dag skifter mellem Metro, tog, S-tog og bus på vej ind og ud af hovedstaden. Området præges af overgangen fra forstad til by, hvor villakvarterer bliver til boligkarreer i storbystil. Lige ved siden af stationen ligger Grøndalsparken som en lang, grøn åre, der strækker sig fra Nørrebro til Vanløse.",M1 og M2 samt S-tog,Oktober 2003,Overjordisk,To
Lindevang,"Vidste du, at Lindevang Station faktisk er en tidligere S-togstation fra 1985? I dag er Lindevang Station trukket i metrotøjet og fungerer dagligt som station for mange af de studerende på Copenhagen Business School. Kvarteret omkring Lindevang Station består hovedsagligt af større ejendomskomplekser i selskab med Lindevangsparken, der ligger som en lille, grøn oase på det ydre Frederiksberg.",M1 og M2,Oktober 2003,Overjordisk,En
Fasanvej,"På Nordre Fasanvej finder du Fasanvej Station, som hver dag transporterer studerende på Copenhagen Business School til og fra studie. Fasanvej Station placerer sig midt i overgangen fra ydre til indre Frederiksberg, et kvarter som i høj grad præges af beboelse, men som også huser Frederiksberg Hospital og har Frederiksberg Have inden for gåafstand.",M1 og M2,Oktober 2003,Underjordisk,En
Frederiksberg,"Dør om dør med Frederiksberg Centeret ligger Frederiksberg Station, hvorfra Falkoner Allé snor sig forbi med hyggelige fortovscafeer og spillestedet Falkoner Salen, der afholder koncerter og teaterforestillinger. Tæt på stationen finder du også en anden ikonisk Frederiksberg-vej, Gammel Kongevej, som byder på et hav af lækre butikker med alt fra kvalitetschokolade til tøj og sko, og for enden af Gammel Kongevej ligger Frederiksberg Rådhus. Derudover finder du en af hovedstadens største haver, Frederiksberg Have, en lille gåtur fra stationen.",M1 og M2 og M3,Maj 2003,Underjordisk,To
Forum,"Forum Station er opkaldt efter den store oplevelseshal Forum, som ligger lige ved siden af metrostationen. Metrostationen har hjemme dér, hvor Frederiksberg møder Nørrebro. Der er et stenkast til Søerne, og du kan hurtigt komme til Blågårdsgades hyggelige caféliv og små butikker. Forum var tidligere den festlige kulisse om det københavnske seksdagesløb i cykling og har siden været benyttet til koncerter, messer og meget andet. Over for Metrostationen finder du det fredede Radiohuset, der tidligere tilhørte DR, men som nu danner ramme om Det Kongelige Danske Musikkonservatorium. Ikke langt fra stationen ligger flere uddannelsesinstitutioner som Københavns Tekniske Skole, handelsskolen Niels Brock og Frederiksberg Campus også kaldet Landbohøjskolen, hvis store universitetshave uden tvivl er et besøg værd.",M1 og M2,Maj 2003,Underjordisk,En
Nørreport,"Nørreport er Danmarks travleste station. Her kan byens mange passagerer skifte mellem metro, tog og bus. Stationens store paddehatte skyder op i hjertet af Indre By mellem grønne åndehuller som Botanisk Have, Ørstedsparken og Kongens Have eller store seværdigheder som kronjuvelerne på Rosenborg Slot eller Thyco Brahes gamle observatorium Rundetaarn. Kun 100 meter fra Nørreport Station finder du Israels Plads og det lækre madmarked TorvehallerneKBH, som rummer mere end 60 forskellige stader. Her kan du spise din frokost, shoppe delikatesser eller tage en hurtig kop kaffe med videre.",M1 og M2 samt S-tog og regionaltog,Maj 2003,Underjordisk,To
Kongens Nytorv,"Kongens Nytorv ligger i Københavns centrum. Pladsen er fra 1670 og er omgivet af fornemme bygninger og palæer som Det Kongelige Teaters Gamle Scene og et af Danmarks fineste hoteller, Hotel D’Angleterre. Fra stationen kan du tage rulletrapper direkte ind i stormagasinet Magasin, hvorfra der også er adgang til gågaden Strøget, hvor shoppelysten kan få frit spil. Klods op ad Kongens Nytorv ligger den gamle havnekanal Nyhavn, som sitrer af sommerstemning i juli og august, mens duften af gløgg og brændte mandler hænger i luften i december. For enden af Nyhavn finder du også Skuespilhuset, der er en del af Det Kongelige Teater, og den nye bro, Inderhavnsbroen, som forbinder Nyhavn med Christianshavn.",M1 og M2 og M3,Maj 2003,Underjordisk,To
Christianshavn,"For godt 400 år siden anlagde Christian d. 4. en ny bydel. Bydelen skulle hedde Christianshavn, ligge mellem Indre By og Amager og omgives af vand. Det gør sig stadigvæk gældende den dag i dag, hvor bydelens kanaler danner rammen for både husbåde, turistbåde og hyggelige caféer. På Christianshavn finder du også en af Københavns største turistattraktioner, nemlig Fristaden Christiania, hvis skæve og kreative ånd udtrykkes i områdets selvbyggede huse og små kunstværksteder. Tæt på Christianshavn Station ligger også to af Københavns historiske kirker, Christianskirken og Vor Frelsers Kirke, og hvis du vil se Christianshavn fra oven, kan du besøge Vor Frelser Kirkes gyldne kirketårn, hvis sidste 150 trin løber på ydersiden af selve tårnet.",M1 og M2,Oktober 2003,Underjordisk,To
Amagerbro,"Metroen kører direkte til hjertet af Amagerbro. Lige ved siden af stationen ligger Amager Centret Amager, der sammen med Amagerbrogades væld af butikker udgør et stjernegodt indkøbskvarter. På den nærliggende Holmbladsgade fordeler lejligheder, små butikker og hyggelige caféer sig langs gaden, hvor du også finder idræts- og kulturhuset Prismen, der afholder alt fra teateropvisning og kunstudstilling til portvinsfestival og Amagerbros helt eget loppemarked.",M1 og M2,Oktober 2003,Underjordisk,En
Lergravsparken,"Indtil 2007 var Lergravsparken endestation for metrolinjen M1. I efteråret 2007 åbnede den sidste del af strækningen fra Lergravsparken til Københavns Lufthavn. Området omkring Lergravsparken Station udgøres af et stort beboelseskvarter, der har givet stationen sit navn. Lergravsparken Station er placeret i et hjørne af et grønt parkanlæg med gode græsplæner og en bemandet legeplads.",M1 og M2,Oktober 2003,Underjordisk,En
Øresund,"Blot fem kilometer fra Indre By udfolder hovedstadens største strand sig med hele 4,6 kilometer sand og vand. Fra Øresund Station er der kun få hundrede meter til den stort anlagte Amager Strandpark, hvor du fra vandkanten kan se helt til Sverige. Den genopførte Helgoland Badeanstalt er især populær i sommermånederne, men bruges også flittigt af de københavnske vinterbadere.",M1 og M2,September 2007,Overjordisk,En
Amager Strand,"Hvis du stiger af på Amager Strandpark station, træder du ud i et Amagers gamle villakvarterer med haver og hække. Her er der ikke langt til vandet, sandet og de mange forskellige oplevelser, du kan finde i Amager Strandpark. Den asfalterede sti er god til løb og rulleskøjter, og ved strandstation 3 finder du en dykkerbane. I lagunen er vandet lavt og særligt velegnet til små børn, og længere ude i lagunen ses ofte mere seriøse svømmere iført våddragter. På det grønne græsområde langs med Amager Strandvej er der lagt op til picnic og grillaftener, og har du lyst til at spille beachvolleyball, er der også mulighed for det.",M1 og M2,September 2007,Overjordisk,En
Femøren,"Stationen er opkaldt efter et af de to grønne naturområder Femøren og Tiøren, som bruges til sommerkoncerter, eller hvis cirkus er i byen. På de vindblæste dage er Femøren Station en et hit blandt surfere, for Amager Strandpark ligger kun nogle få hundrede meter fra Amager Strandpark, hvor der omkring strandstation 4 og 5 er etableret en surferzone til blandt andet kitesurfing og blokarts. Tæt på stationen finder du Kastrup Fort, resterne af et gammelt forsvarsbatteri, der i dag huser en restaurant og en legeplads.",M1 og M2,September 2007,Overjordisk,En
Kastrup – Den Blå Planet,"Danmarks Akvarium, Den Blå Planet, åbnede i 2013 med en fantastisk placering lige ud til Øresund og lige så fantastisk arkitektur. Der er omkring 600 meter at gå fra Kastrup Metrostation til akvariet, og hvis du følger de blå bølgebænke, bliver du ført direkte ind i det store akvarie, som huser tusindvis af dyr fra hele verden, som boltrer sig i akvariets syv millioner liter azurblåt saltvand. Udover søpapegøjer og hammerhajer ligger Kastrup Station også i nærheden Kunstmuseet Kastrupgårdsamlingen, et gammelt landsted nu indrettet som museum med moderne grafik og samtidskunst.",M1 og M2,September 2007,Overjordisk,En
Københavns Lufthavn,"Metroen tager dig de første skridt, når du skal ud i verden. Stationen er nemlig en del af Københavns Lufthavns Terminal 3, som huser ankomsthallen og check-in-området. Vil du undgå lange køer og få en flyvende start på din rejse, kan du i ro og mag klare dit check-in på metrostationen, hvor du også finder check-in-automater til selvbetjening. Derefter skal du bare aflevere din bagage ved bagageindleveringen eller gå direkte fra metroen til sikkerhedskontrollen, hvis du kun har håndbagage. Er du lige ankommet til Københavns Lufthavn, tager det kun 14 minutter med Metroen at komme til Københavns centrum.",M1 og M2,September 2007,Overjordisk,To
Islands Brygge,"Mellem den sommerpopulære havnepromenade Islands Brygge, Københavns Universitet Amager, DR Byen og det nordligste stykke af Amager Fælled ligger Islands Brygge Station. Studerende på Københavns Universitet bruger stationen hele året for at komme til og fra studie, og i sommermånederne bruges stationen især, når badelysten og sulten for is melder sig københavnerne. Tæt på stationen ligger også kollegierne det kubiske Bikuben og det cirkelrunde Tietgenskollegium, som begge er eksempler på den innovative, eksperimenterende arkitektur, der er blevet en del af det københavnske bybillede.",M1 og M2,Oktober 2002,Underjordisk,En
DR Byen,"Det store naturområde Amager Fælled løber langs metroskinnerne og sender frisk luft ind over DR Byen. DR har adresse på Emil Holms Kanal, og DR Byen har her fået sit helt eget postnummer: 0999 København C. Fra DR Byen Station er der adgang til DRs koncertsal, og ikke langt derfra ligger IT-Universitet. Området er på en og samme tid urbant, moderne og meget grønt. Der er vitterligt tale om en by i byen.",M1 og M2,Oktober 2002,Overjordisk,En
Sundby,"Sundby Metrostation grænser op til Amager Fælled, der med sin friske luft og store naturarealer indbyder til løb og gåture. På stationens modsatte side ligger rækkehuse af både ny og ældre dato samme med nogle af Amagers haveforeninger. Metrostationen er oplagt at bruge, hvis du ønsker at slippe væk fra byen et kort øjeblik.",M1 og M2,Oktober 2002,Overjordisk,En
